ID,code,workUnit_TH,workUnit_EN
215,650500,ททท. สำนักงานภูเก็ต,TAT Phuket Office
216,650600,ททท. สำนักงานสุราษฎร์ธานี,TAT Surat Thani Office
217,650700,ททท. สำนักงานตรัง,TAT Trang Office
218,650800,ททท. สำนักงานกระบี่,TAT Krabi Office
219,650900,ททท. สำนักงานชุมพร,TAT Chumphon Office
220,651000,ททท. สำนักงานเกาะสมุย,TAT Ko Samui Office
221,651100,ททท. สำนักงานพังงา,TAT Phang-nga Office
222,651200,ททท. สำนักงานสตูล,TAT Satun Office
223,660000,ภูมิภาคภาคตะวันออก,Eastern Region
224,660100,กองตลาดภาคตะวันออก,Eastern Market Division
225,660101,งานภาคตะวันออก 1,Eastern Region 1 Section
226,660102,งานภาคตะวันออก 2,Eastern Region 2 Section
227,660200,ททท. สำนักงานพัทยา,TAT Pattaya Office
228,660300,ททท. สำนักงานระยอง,TAT Rayong Office
229,660400,ททท. สำนักงานตราด,TAT Trat Office
230,660500,ททท. สำนักงานนครนายก,TAT Nakhon Nayok Office
231,660600,ททท. สำนักงานฉะเชิงเทรา,TAT Chachoengsao Office
232,660700,ททท. สำนักงานจันทบุรี,TAT Chanthaburi Office
233,700000,ด้านตลาดเอเชีย และแปซิฟิกใต้,Offices under the Deputy Governor for International Marketing (Asia and South Pacific)
234,710000,กลุ่มงานอำนวยการด้านตลาดเอเชีย และแปซิฟิกใต้,Asia and South Pacific Marketing Group
235,720000,ภูมิภาคเอเชียตะวันออก,East Asia Region
236,720100,กองตลาดเอเชียตะวันออก,East Asia Market Division
237,720101,งานเอเชีย 1,Asia 1 Section
238,720102,งานเอเชีย 2,Asia 2 Section
239,720103,งานเอเชีย 3,Asia 3 Section
240,720200,ททท. สำนักงานโตเกียว,TAT Tokyo Office
241,720300,ททท. สำนักงานโอซากา,TAT Osaka Office
242,720400,ททท. สำนักงานไทเป,TAT Taipei Office
243,720500,ททท. สำนักงานโซล,TAT Seoul Office
244,720600,ททท. สำนักงานฮ่องกง,TAT Hong Kong Office
245,720700,ททท. สำนักงานปักกิ่ง,TAT Beijing Office
246,720800,ททท. สำนักงานเซี่ยงไฮ้,TAT Shanghai Office
247,720900,ททท. สำนักงานคุนหมิง,TAT Kunming Office
248,721000,ททท. สำนักงานเฉิงตู,TAT Chengdu Office
249,721100,ททท. สำนักงานกว่างโจว,TAT Guangzhou Office
250,721200,ททท. สำนักงานฟูกูโอกะ,TAT Fukuoka Office
251,730000,ภูมิภาคอาเซียน เอเชียใต้ และแปซิฟิกใต้,"ASEAN, South Asia and South Pacific Region"
252,730100,กองตลาดอาเซียน เอเชียใต้ และแปซิฟิกใต้,"ASEAN, South Asia and South Pacific Market Division"
253,730101,งานอาเซียน 1,ASEAN 1 Section
254,730102,งานอาเซียน 2,ASEAN 2 Section
255,730103,งานเอเชียใต้ และแปซิฟิกใต้,South Asia and South Pacific Section
256,730200,ททท. สำนักงานซิดนีย์,TAT Sydney Office
257,730300,ททท. สำนักงานกัวลาลัมเปอร์,TAT Kuala Lumpur Office
258,730400,ททท. สำนักงานสิงคโปร์,TAT Singapore Office
259,730500,ททท. สำนักงานนิวเดลี,TAT New Delhi Office
260,730600,ททท. สำนักงานโฮจิมินห์,TAT Ho Chi Minh Office
261,730700,ททท. สำนักงานมุมไบ,TAT Mumbai Office
262,730800,ททท. สำนักงานจาการ์ตา,TAT Jakarta Office
263,800000,ด้านตลาดยุโรป อเมริกา ตะวันออกกลาง และแอฟริกา,"Offices under the Deputy Governor for Marketing (Europe, Americas, Middle East and Africa)"
264,810000,กลุ่มงานอำนวยการด้านตลาดยุโรป อเมริกา ตะวันออกกลาง และแอฟริกา,"Europe, Americas, Middle East and Africa Marketing Group"
265,820000,ภูมิภาคยุโรป,Europe Region
266,820100,กองตลาดยุโรป,Europe Market Division
267,820101,งานยุโรปตะวันตกและยุโรปใต้,Western and Southern Europe Section
268,820102,งานยุโรปเหนือ,Northern Europe Section
269,820103,งานยุโรปตะวันออก,Eastern Europe Section
270,820200,ททท. สำนักงานลอนดอน,TAT London Office
271,820300,ททท. สำนักงานแฟรงก์เฟิร์ต,TAT Frankfurt Office
272,820400,ททท. สำนักงานปารีส,TAT Paris Office
273,820500,ททท. สำนักงานกรุงโรม,TAT Rome Office
274,820600,ททท. สำนักงานสตอกโฮล์ม,TAT Stockholm Office
275,820700,ททท. สำนักงานมอสโก,TAT Moscow Office
276,820800,ททท. สำนักงานกรุงปราก,TAT Prague Office
277,830000,ภูมิภาคอเมริกา ตะวันออกกลาง และแอฟริกา,"The Americas, Middle East and Africa Region"
278,830100,กองตลาดอเมริกา ตะวันออกกลาง,"The Americas, Middle East and Africa Division"
279,830101,งานอเมริกา,The Americas Section
280,830102,งานตะวันออกกลาง และแอฟริกา,Middle East and Africa Section
281,830200,ททท. สำนักงานนิวยอร์ก,TAT New York Office
282,830300,ททท. สำนักงานลอสแอนเจลิส,TAT Los Angeles Office
283,830400,ททท. สำนักงานชิคาโก,TAT Chicago Office
284,830500,ททท. สำนักงานดูไบ,TAT Dubai Office
285,900000,ด้านสื่อสารการตลาด,Offices under the Deputy Governor for Marketing Communications
286,910000,กลุ่มงานอำนวยการด้านสื่อสารการตลาด,Marketing Communications Group
287,920000,ฝ่ายโฆษณาและประชาสัมพันธ์,Advertising and Public Relations Department
288,920100,กองเผยแพร่โฆษณาต่างประเทศ,International Advertising Publicity Division
289,920101,งานกลยุทธ์โฆษณาต่างประเทศ,International Advertising Strategy Section
290,920102,งานสื่อโฆษณาออนไลน์ต่างประเทศ,International Online Media Section
291,920103,งานสื่อโฆษณาออฟไลน์ต่างประเทศ,International Offline Media Section
292,920200,กองเผยแพร่โฆษณาในประเทศ,Domestic Advertising Publicity Division
293,920201,งานกลยุทธ์โฆษณาในประเทศ,Domestic Advertising Strategy Section
294,920202,งานสื่อโฆษณาออนไลน์ในประเทศ,Domestic Online Media Section
295,920203,งานสื่อโฆษณาออฟไลน์ในประเทศ,Domestic Offline Media Section
296,920204,งานนิทรรศการและสื่อพิเศษ,Exhibition and Special Media Section
297,920300,กองประชาสัมพันธ์ต่างประเทศ,International Public Relations Division
298,920301,งานกลยุทธ์ประชาสัมพันธ์ต่างประเทศ,International Public Relations Strategy Section
299,920302,งานข่าวต่างประเทศ,International News Section
300,920303,งานสื่อมวลชนสัมพันธ์ต่างประเทศ,International Media Relations Section
301,920400,กองประชาสัมพันธ์ในประเทศ,Domestic Public Relations Division
302,920401,งานกลยุทธ์ประชาสัมพันธ์ในประเทศ,Domestic Public Relations Strategy Section
303,920402,งานข่าวในประเทศ,Domestic News Section
304,920403,งานสื่อมวลชนสัมพันธ์ในประเทศ,Domestic Media Relations Section
305,930000,ฝ่ายบริการการตลาด,Marketing Services Department
306,930100,กองวางแผนและผลิตสื่อ,Promotional Material Production Division
307,930101,งานวางแผนการผลิตและประเมินผล,Production Planning and Evaluation Section
308,930102,งานออกแบบและสร้างสรรค์สื่อ,Media Design and Creativity Section
309,930103,งานวีดิทัศน์,Video Section
310,930104,งานภาพถ่าย,Photograph Section
311,930200,กองข่าวสารท่องเที่ยว,Tourist Information Division
312,930201,งานพัฒนาข้อมูลท่องเที่ยว,Information Development Section
313,930202,งานดิจิทัลข้อมูลท่องเที่ยว,Digital Tourist Information Section
314,930203,งานบริการข่าวสาร,Information Service Section
315,930300,กองวารสาร,Magazine and Periodical Division
316,930301,งานนิตยสาร,Magazine Section
317,930302,งานหนังสือพิเศษและสื่อดิจิทัล,Special Publications and Digital Media Section
318,930303,งานการตลาดวารสาร,Sales Section
